"metric","value"
"corr_t_stat",6.79099750101732
"corr_p_val",1.53820662839905e-08
"corr_r",0.7
"corr_n",50
"corr_t_stat2",-4.50096872760766
"corr_p_val2",2.54575051560714e-05
"corr_r2",-0.4686
"corr_n2",74
"corr_t_stat3",16.0990523689901
"corr_p_val3",1.09969978296415e-15
"diag_Se",0.8
"diag_Sp",0.9
"diag_PPV",0.888888888888889
"diag_NPV",0.818181818181818
"diag_Acc",0.85
"diag_LRp",8
"diag_LRn",0.222222222222222
"diag_DOR",36
"diag_J",0.7
"diag_LRp_lo",4.40765043977715
"diag_LRp_hi",14.5202077329971
"diag_LRn_lo",0.149347832650608
"diag_LRn_hi",0.330655726118981
"diag_DOR_lo",15.9087182765041
"diag_DOR_hi",81.4647652610762
"diag_se_ln_lrp",0.304138126514911
"diag_se_ln_lrn",0.202758751009941
"diag_se_ln_dor",0.416666666666667
"diag2_Se",0.75
"diag2_Sp",0.964285714285714
"diag2_PPV",0.9
"diag2_NPV",0.9
"diag2_Acc",0.9
"diag2_LRp",21
"diag2_LRn",0.259259259259259
"diag2_DOR",81
"diag2_J",0.714285714285714
"diag2_LRp_lo",8.77130054405915
"diag2_LRp_hi",50.2776068138142
"diag2_LRn_lo",0.16706941754612
"diag2_LRn_hi",0.402319972732921
"diag2_DOR_lo",27.8708096844879
"diag2_DOR_hi",235.407585006462
"bayes_PPV",0.296296296296296
"bayes_NPV",0.988439306358382
"bayes_prev",0.05
"bayes_PPV2",0.774193548387097
"bayes_NPV2",0.91304347826087
"bayes_prev2",0.3
"smd_m1",9.88139233375163
"smd_m2",12.3221944740853
"smd_s1",3.66716363718885
"smd_s2",3.6354886529361
"smd_n1",40
"smd_n2",60
"smd_poolsd_rootmean",3.65136049216914
"smd_rootmean",-0.668463753597683
"smd_cat",0.340914593836282
"smd_cat_actual",0.413819448917261
"ess",84.9063883202304
"ess_n",100
"ess_sum_w",171.804490652285
"ess_sum_w2",347.639130485286
"aic",511
"bic",527.49158683274
"aic_ll",-250.5
"aic_k",5
"aic_N",200
"aic2",376.6
"bic2",410.316864787378
"icc_linear",0.25
"icc_var_re",2.5
"icc_var_resid",7.5
"icc_binary",0.267268428440916
"icc_var_re_bin",1.2
"var_from_logsd",4.95303242439511
"logsd_input",0.8
"mor",1.96303108415826
"mor_var",0.5
"mor2",3.21636074353784
"mor_var2",1.5
"mor_ci_lo",1.68616633945545
"mor_ci_hi",2.34707423855412
"irr",0.75
"irr_lo",0.476962996734846
"irr_hi",1.17933677004446
"irr_rate_ref",5
"irr_rate_exp",3.75
"irr_se_ln",0.23094010767585
"irr2",1.25
"irr2_lo",0.926588337294994
"irr2_hi",1.68629361833048
"surv_diff_pct",11
"surv_se_diff",5.46717477313466
"surv_diff_lo",0.28453434747013
"surv_diff_hi",21.7154656525299
"rmst",19.5
"rmst_se",1.86748493969831
"rmst_lb",15.8397967765204
"rmst_ub",23.1602032234796
"z_to_p_z1",1.96
"z_to_p_p1",0.0499957902964409
"z_to_p_z2",2.576
"z_to_p_p2",0.00999506463147003
"z_to_p_z3",0.5
"z_to_p_p3",0.617075077451974
"z_to_p_z4",3
"z_to_p_p4",0.00269979606326019
"z_to_p_z5",-1.645
"z_to_p_p5",0.0999698110782427
"icc_ml_var1",0.49
"icc_ml_var2",0.25
"icc_ml_var_resid",1
"icc_ml",0.425287356321839
"mor_bnd_zero",1
"mor_bnd_small",1.3520757258726
"mor_bnd_large",3.85349103737154
"icc_bin_extra_var",0.25
"icc_bin_extra",0.0706240997002737
"icc_single_var_re",1
"icc_single_var_res",2
"icc_single",0.333333333333333
